Time ALE BLT SSP DSP LWF RDG YPH WAE RSM CHK CHO STH LKT BBT COP CLA BYT MYS ROT PRO PB BB AMP DRE CHI DIP OLI GRN PIC MA DL DR DC DIN RelALE RelBLT RelSSP RelDSP RelLWF RelRDG RelYPH RelWAE RelRSM RelCHK RelCHO RelSTH RelLKT RelBBT RelCOP RelCLA RelBYT RelMYS RelROT RelPRO RelPB RelBB RelAMP RelDRE RelCHI RelDIP RelOLI RelGRN RelPIC RelMA RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+000 142669.300600 228646.802345 9652.600000 42383.769780 26420.495602 579.920592 2615.004304 734.060000 59302.742204 7275.912160 1015.091259 6471.814673 5427.586354 18322.011742 1508922.249056 332228.914328 9931.398138 164005.376690 67391.630305 130526.947155 1905872.131347 771609.834352 47151.709509 238835.305223 37249.850512 979146.505634 586449.387023 253693.416859 203816.798616 5200.535705 312289.003230 312289.003230 0.000000 180486629.244492 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -734.252719 25.885294
1.000000e+002 150071.803288 227566.809382 10894.324608 38815.529447 28420.658336 822.937510 2652.694960 561.569300 54565.447365 8365.891668 1052.985838 7062.527355 5286.801482 15535.911473 1393208.424102 276497.889453 7653.039529 172204.075292 66883.199317 137749.037258 12776919.122796 1322371.774579 47686.937631 302171.134827 35478.922087 874912.150157 553142.401750 147037.241744 56921.444706 2247228.090627 662257.202357 705567.690154 0.000000 172053556.238835 1.051886 0.995277 1.128641 0.915811 1.075705 1.419052 1.014413 0.765018 0.920117 1.149807 1.037331 1.091275 0.974061 0.847937 0.923314 0.832251 0.770590 1.049990 0.992456 1.055330 6.703975 1.713783 1.011351 1.265186 0.952458 0.893546 0.943206 0.579586 0.279277 432.114732 2.120655 2.259342 1.000000 0.953276 0.500329 1.736895 25.382353 6718.089446 -974.514983 0.416365
2.000000e+002 188802.028768 295776.459890 12486.253666 46162.087641 36626.229113 1062.330473 2814.475491 642.685637 50089.788615 11726.176948 1286.637105 7564.408079 4142.982767 18540.845522 1979403.500725 508656.084267 5823.489573 219889.836695 56839.531486 650103.652851 9761311.025334 1634800.745140 50875.242139 377357.236508 33544.649857 718814.819334 518582.799819 2413697.986232 12324.288100 2209652.407902 1173783.429692 477656.679600 0.000000 174351009.461380 1.323354 1.293595 1.293564 1.089145 1.386281 1.831855 1.076279 0.875522 0.844645 1.611644 1.267509 1.168823 0.763320 1.011944 1.311800 1.531041 0.586372 1.340748 0.843421 4.980609 5.121703 2.118688 1.078969 1.579989 0.900531 0.734124 0.884275 9.514232 0.060467 424.889383 3.758645 1.529534 1.000000 0.966005 0.371925 2.176270 27.647059 5632.867396 -1449.952558 0.527894
3.000000e+002 325341.420637 327328.811238 24146.175475 53662.287634 64803.564063 1427.594937 3572.866836 780.165630 49348.158433 8018.010576 553.882650 8547.034457 2644.457072 20565.883275 1870672.027400 627873.134034 16294.028830 327172.868034 35183.537656 1368491.205243 8042845.973332 1806318.590588 58702.029482 477046.271093 31524.008150 620373.073799 483999.096118 1963493.698942 1520.085192 1419080.427789 1402536.937697 498064.010263 0.000000 173986528.828300 2.280388 1.431591 2.501520 1.266105 2.452776 2.461708 1.366295 1.062809 0.832140 1.101994 0.545648 1.320655 0.487225 1.122469 1.239741 1.889881 1.640658 1.994891 0.522076 10.484358 4.220034 2.340974 1.244961 1.997386 0.846285 0.633586 0.825304 7.739632 0.007458 272.871971 4.491151 1.594882 1.000000 0.963986 0.365189 3.885896 27.617647 4685.854484 -3736.720524 0.553124
3.650000e+002 386531.717075 339972.783075 23648.466600 50730.497416 65010.681211 1649.931975 4009.509380 912.605983 49109.313309 10834.262007 600.467241 9452.039971 2567.808016 22735.118096 1800487.824197 577539.408182 13208.064189 396668.480551 31690.841502 1654366.478503 8085737.536695 1818741.715400 64872.805455 554604.063670 30234.579548 564721.676180 461838.425999 1978542.898813 456.080026 765429.368978 1514222.672744 434026.045035 0.000000 172089739.766209 2.709284 1.486891 2.449958 1.196932 2.460616 2.845100 1.533271 1.243231 0.828112 1.489059 0.591540 1.460493 0.473103 1.240864 1.193228 1.738378 1.329930 2.418631 0.470249 12.674521 4.242539 2.357074 1.375831 2.322119 0.811670 0.576749 0.787516 7.798952 0.002238 147.182793 4.848786 1.389822 1.000000 0.953476 709761026325585410000000.000000 1.277239 23.735294 4092.904302 -3663.545774 0.366869
4.000000e+002 397114.837010 293755.241220 24160.325895 51611.563542 68239.354338 1812.260802 4086.193049 961.418877 48495.838239 12279.680635 616.394081 9850.529063 2546.885054 18064.857863 1709624.041726 504730.597817 12669.504925 368140.959527 31431.485391 1859131.005283 8110160.153125 1831092.333946 67018.323239 594812.620172 29635.954633 544729.950462 452405.606007 1724124.867084 284.645112 414927.934804 1605695.393390 372648.296386 0.000000 171885192.505589 2.783464 1.284756 2.502986 1.217720 2.582819 3.125015 1.562595 1.309728 0.817767 1.687717 0.607230 1.522066 0.469248 0.985965 1.133010 1.519225 1.275702 2.244688 0.466400 14.243273 4.255354 2.373081 1.421334 2.490472 0.795599 0.556331 0.771432 6.796096 0.001397 79.785614 5.141697 1.193280 1.000000 0.952343 726575503096103700000000.000000 1.227568 23.764706 3817.706050 -3756.136438 0.201263
5.000000e+002 368209.518952 351403.677322 26641.949966 61436.833030 70827.295810 2049.921269 4082.350135 806.438685 42108.949579 17984.539522 707.818478 10449.329949 2512.226814 21360.833073 1490991.017165 344283.519558 5837.086629 295219.637292 31183.197657 2107910.444709 8278125.329434 1899663.338809 71864.457897 717048.452207 27616.132708 469803.882637 431858.652793 1163017.442203 81.243549 1012247.774970 1832399.689648 298370.536303 0.000000 172129913.786534 2.580860 1.536884 2.760080 1.449537 2.680771 3.534831 1.561126 1.098601 0.710067 2.471792 0.697295 1.614590 0.462863 1.165856 0.988117 1.036284 0.587741 1.800061 0.462716 16.149236 4.343484 2.461948 1.524111 3.002272 0.741376 0.479810 0.736395 4.584342 0.000399 194.642981 5.867641 0.955431 1.000000 0.953699 0.488227 2.352885 25.235294 3226.636487 -4193.433755 0.372815
6.000000e+002 378272.635635 427215.875024 29899.914603 74806.234863 84191.961487 2595.747421 4857.060782 1094.824511 39241.090296 28304.466096 811.227012 13351.690211 4236.516661 25877.868218 1504766.118465 469786.674424 22800.301854 324562.797412 32181.321110 851674.875390 6245716.654557 2010594.987782 93108.775932 889685.823781 25470.503012 413973.297077 411854.662165 2454213.867182 15.594661 770484.337193 1780177.032240 444088.490112 0.000000 175747408.310164 2.651395 1.868453 3.097602 1.764974 3.186616 4.476039 1.857382 1.491465 0.661708 3.890161 0.799167 2.063052 0.780553 1.412392 0.997246 1.414045 2.295780 1.978977 0.477527 6.524897 3.277091 2.605715 1.974664 3.725102 0.683775 0.422790 0.702285 9.673936 0.000077 148.154802 5.700415 1.422043 1.000000 0.973742 0.331078 2.045049 27.558824 2724.184425 -4459.966595 0.152237
7.000000e+002 410423.189875 329972.491341 33091.904205 76757.167313 70038.350928 2898.929744 2591.887186 1351.444050 31750.535482 22514.346881 575.749601 15730.874188 3382.539787 29105.916854 1324725.206119 435897.021811 9226.096626 405832.350691 32968.417970 749373.414328 5766845.588221 1996188.700137 128378.530587 1113466.061217 23831.741231 378042.179328 391334.544043 2242230.270199 7.016924 433830.410376 1671844.533317 491324.828606 0.000000 176271095.255278 2.876745 1.443154 3.428289 1.811004 2.650910 4.998839 0.991160 1.841054 0.535397 3.094368 0.567190 2.430674 0.623213 1.588576 0.877928 1.312038 0.928983 2.474506 0.489206 5.741140 3.025830 2.587044 2.722670 4.662066 0.639781 0.386094 0.667295 8.838346 0.000034 83.420331 5.353517 1.573302 1.000000 0.976644 0.376213 2.518218 27.588235 2255.760501 -5163.103232 0.139561
7.300000e+002 402870.035186 327480.896075 32621.160531 73675.141251 70444.788882 2980.811615 2435.900262 1451.750978 30689.135174 24964.884671 589.526843 16567.698883 3395.069591 30471.218844 1251194.039901 382484.628572 6636.580625 405459.286796 32616.012805 762780.796729 5785397.591174 1986005.318617 134056.050049 1174025.325735 23426.500875 368672.314165 385287.379976 1986987.817216 6.230136 297103.743158 1726666.354345 417845.200000 0.000000 176331327.911237 2.823803 1.432257 3.379521 1.738287 2.666293 5.140034 0.931509 1.977701 0.517499 3.431169 0.580762 2.559977 0.625521 1.663094 0.829197 1.151268 0.668242 2.472232 0.483977 5.843857 3.035564 2.573847 2.843079 4.915627 0.628902 0.376524 0.656983 7.832240 0.000031 57.129450 5.529066 1.338008 1.000000 0.976977 524562253227025580000000.000000 0.779176 23.735294 2133.243692 -5079.116553 0.129302
