Time ALE-M BLT-M SSP-M DSP-M LWF-M RDG-M YPH-M WAE-M RSM-M CHK-M CHO-M STH-M LKT-M BBT-M COP-M CLA-M BYT-M MYS-M ROT-M PRO-M PB-M BB-M AMP-M CHI-M DIP-M OLI-M GRN-M PIC-M MA-M DL-M DR-M DC-M ALE-F BLT-F SSP-F DSP-F LWF-F RDG-F YPH-F WAE-F RSM-F CHK-F CHO-F STH-F LKT-F BBT-F COP-F CLA-F BYT-F MYS-F ROT-F PRO-F PB-F BB-F AMP-F CHI-F DIP-F OLI-F GRN-F PIC-F MA-F DL-F DR-F DC-F
0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 3.179305e+000 4.421547e-001 1.791725e+001 7.853058e+000 6.502343e-003 4.484705e+001 1.049600e+002 0.000000e+000 1.433532e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.024990e-011 6.679329e-011 5.287886e-011 1.022491e-013 3.990981e-012 6.557167e-010 8.103433e-012 6.398022e-011 5.410937e-011 9.561263e-012 8.858759e-012 1.121035e-010 9.609608e-012 2.019231e-011 3.700392e-008 7.158954e-010 1.085292e-009 0.000000e+000 4.107902e-002 2.984386e-001 0.000000e+000 0.000000e+000 2.651443e-001 0.000000e+000 3.768705e-001 1.283677e-001 7.764870e-002 2.054992e-001 4.903430e-003 5.181130e-003 4.051585e-001 1.316446e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 4.772386e+000 4.068570e-001 1.669229e+001 7.222374e+000 4.913650e-003 4.041053e+001 1.154896e+002 0.000000e+000 2.236222e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.050109e-014 2.041942e-014 1.901267e-014 1.951322e-013 1.099293e-014 1.631902e-014 5.226425e-015 1.868997e-013 2.955055e-013 2.032441e-014 1.930036e-014 2.433220e-013 8.212883e-015 1.347970e-014 3.603917e-011 5.534301e-015 9.548908e-015 0.000000e+000 2.450829e-002 2.046325e-001 0.000000e+000 0.000000e+000 7.122833e-001 0.000000e+000 2.335692e-001 4.197103e-002 6.471780e-002 9.643812e-002 7.671115e-003 7.484166e-003 1.288285e+000 1.369182e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.095000e+003 1.830121e+000 2.345222e-001 2.374821e+001 3.322050e+001 1.172636e-002 1.298967e+001 2.274958e+021 0.000000e+000 1.224507e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 3.129709e-014 2.188386e-014 4.346029e-014 9.700855e-014 2.549432e-015 3.646155e-014 3.927633e-014 2.976555e-013 4.731139e-013 2.078121e-014 1.803600e-014 2.759781e-013 1.090546e-014 1.222624e-013 3.662568e-011 9.313571e-014 1.822446e-013 0.000000e+000 4.648226e-002 1.840234e-001 0.000000e+000 0.000000e+000 5.096327e-001 0.000000e+000 2.828631e+007 6.760635e-002 9.750748e-002 3.396971e-002 6.872782e-003 9.222980e-003 1.753571e+000 1.616245e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.460000e+003 7.888508e-001 1.902984e-001 3.954857e+001 5.658974e+001 1.525240e-002 4.933631e+000 1.493895e+021 0.000000e+000 6.103362e-001 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.508957e-014 4.500280e-014 1.139049e-013 7.037830e-014 3.042051e-015 2.802542e-014 1.780196e-014 4.282286e-013 7.057370e-013 2.249613e-014 1.917311e-014 3.510529e-013 2.181427e-014 8.668792e-014 3.975287e-011 2.276297e-014 5.603433e-014 0.000000e+000 6.261269e-002 1.564445e-001 0.000000e+000 0.000000e+000 1.083502e-001 0.000000e+000 2.450908e+007 4.385598e-002 1.092791e-001 1.058294e+000 3.864424e-003 1.399103e-002 9.536388e+005 2.120481e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.825000e+003 2.572687e+002 1.540319e-001 4.758410e+001 5.918144e+001 1.091726e-002 2.483033e+000 1.713240e+021 0.000000e+000 3.217627e+006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 7.390371e-014 4.992581e-014 1.641052e-013 2.048354e-013 3.562125e-015 2.421837e-013 9.212001e-014 5.513592e-013 8.077427e-013 2.358817e-014 2.306072e-014 4.605971e-013 2.051537e-014 6.234979e-013 4.842792e-011 1.154043e-012 1.066468e-012 0.000000e+000 3.268210e-004 1.563221e-001 0.000000e+000 0.000000e+000 9.725267e-002 0.000000e+000 1.618200e+007 1.237172e-002 1.392353e+000 7.189480e-002 1.297824e-002 3.182180e-003 9.536388e+005 3.028033e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+003 5.513738e+008 1.058428e-001 5.099963e+001 5.745242e+001 7.443743e-003 7.787402e+000 2.265986e+000 0.000000e+000 1.121515e+023 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.847325e-014 3.679817e-014 1.361538e-013 1.511497e-013 2.241726e-015 7.878423e-014 2.159053e-013 5.765503e-013 7.435698e-013 2.323869e-014 5.062200e-014 5.689908e-013 1.822808e-014 2.148585e-014 3.488708e-011 3.809716e-013 5.538215e-013 0.000000e+000 5.850905e-009 1.592476e-001 0.000000e+000 0.000000e+000 9.832657e-002 0.000000e+000 4.297779e-002 2.333397e-002 2.184785e+007 1.860419e-001 2.047717e-002 2.076310e-002 9.536388e+005 3.875759e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.555000e+003 9.525899e+005 8.005465e+001 5.902415e+001 6.493149e+001 7.576868e-003 4.408452e+000 4.770496e+021 0.000000e+000 1.445618e+023 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.291988e-014 2.753353e-014 5.059085e-014 9.982272e-014 1.336258e-015 6.217568e-014 1.693088e-013 5.777357e-013 6.766861e-013 2.249288e-014 1.429542e-013 5.632992e-013 1.045895e-014 6.462497e-015 4.559125e-011 3.079214e-013 5.376125e-013 0.000000e+000 1.970842e-007 1.723451e-004 0.000000e+000 0.000000e+000 9.354245e-002 0.000000e+000 1.669708e+007 2.164159e-002 2.021677e+007 1.793691e-001 1.272152e-002 2.279008e-002 2.615695e+007 4.986967e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+003 6.649649e+000 2.487692e+004 6.684767e+001 7.407260e+001 7.753976e-003 3.554350e+000 4.586540e+021 0.000000e+000 1.512456e+001 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.405776e-014 4.445099e-014 2.260742e-013 6.983714e-014 2.601609e-015 1.167359e-013 9.621451e-014 7.467006e-013 9.017880e-013 2.596640e-014 3.554166e-013 8.089298e-013 3.421550e-014 3.871309e-013 3.595292e-011 1.032451e-012 1.030158e-012 0.000000e+000 1.115185e-002 4.291732e-007 0.000000e+000 0.000000e+000 1.531073e-001 0.000000e+000 1.832815e+007 1.443094e-002 4.925950e-001 6.194029e-002 1.032766e-002 2.227421e-002 2.751929e+007 5.341342e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.285000e+003 1.207874e+000 2.300941e+003 6.387719e+001 7.040106e+001 5.841983e-003 2.897038e+000 3.875383e+021 0.000000e+000 2.881674e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 3.223059e-014 3.508445e-014 1.174455e-013 1.581663e-013 1.738109e-015 1.172587e-013 4.664345e-013 6.552742e-013 7.977923e-013 2.500401e-014 4.016361e-013 7.545263e-013 1.661207e-014 5.896239e-014 4.637934e-011 9.087435e-013 1.360900e-012 0.000000e+000 4.743272e-002 6.859100e-006 0.000000e+000 0.000000e+000 9.653369e-002 0.000000e+000 1.502308e+007 8.619050e-002 1.381598e-001 9.057943e-002 1.223552e-002 2.065735e-002 2.615695e+007 5.505697e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
