Time ALE-M BLT-M SSP-M DSP-M LWF-M RDG-M YPH-M WAE-M RSM-M CHK-M CHO-M STH-M LKT-M BBT-M COP-M CLA-M BYT-M MYS-M ROT-M PRO-M PB-M BB-M AMP-M DRE-M CHI-M DIP-M OLI-M GRN-M PIC-M MA-M DL-M DR-M DC-M ALE-F BLT-F SSP-F DSP-F LWF-F RDG-F YPH-F WAE-F RSM-F CHK-F CHO-F STH-F LKT-F BBT-F COP-F CLA-F BYT-F MYS-F ROT-F PRO-F PB-F BB-F AMP-F DRE-F CHI-F DIP-F OLI-F GRN-F PIC-F MA-F DL-F DR-F DC-F
0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 3.166919e+000 4.417469e-001 1.789940e+001 7.845307e+000 6.400584e-003 4.498775e+001 1.045135e+002 0.000000e+000 1.427150e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.109836e-011 8.004365e-011 8.384887e-011 1.055617e-013 4.051345e-012 6.394096e-010 1.462893e-011 6.294447e-011 5.381438e-011 9.944987e-015 9.567895e-012 8.774172e-012 1.122873e-010 9.779946e-012 1.919373e-011 3.554403e-008 7.190222e-010 1.082550e-009 0.000000e+000 4.108364e-002 2.984400e-001 0.000000e+000 0.000000e+000 2.649296e-001 0.000000e+000 3.758086e-001 1.283045e-001 7.763972e-002 2.054870e-001 4.903430e-003 5.181130e-003 4.051568e-001 1.316446e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 4.757209e+000 4.062002e-001 1.666447e+001 7.209682e+000 4.873746e-003 4.056634e+001 1.152092e+002 0.000000e+000 2.227537e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.270890e-014 2.225811e-014 1.807538e-014 1.946278e-013 1.496227e-014 1.833812e-014 4.840914e-015 1.910144e-013 3.045210e-013 2.092647e-015 2.039222e-014 1.996372e-014 2.449439e-013 1.016821e-014 1.256301e-014 3.087859e-011 4.974171e-015 1.179436e-014 0.000000e+000 2.452506e-002 2.046388e-001 0.000000e+000 0.000000e+000 7.114558e-001 0.000000e+000 2.323312e-001 4.193926e-002 6.469659e-002 9.583688e-002 7.671115e-003 7.484166e-003 1.272821e+000 1.369182e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.095000e+003 1.834906e+000 2.344044e-001 2.373649e+001 3.319689e+001 1.174519e-002 1.387118e+001 2.292010e+021 0.000000e+000 1.225783e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 3.732917e-014 2.853132e-014 4.120007e-014 9.602950e-014 2.533024e-015 4.088813e-014 1.303829e-014 3.111166e-013 4.996194e-013 1.388745e-015 2.089746e-014 1.853575e-014 2.788885e-013 1.378438e-014 1.878716e-014 3.767678e-011 1.913069e-014 3.438448e-014 0.000000e+000 4.642072e-002 1.840323e-001 0.000000e+000 0.000000e+000 5.133747e-001 0.000000e+000 2.828631e+007 6.701923e-002 9.708564e-002 3.339272e-002 6.872782e-003 9.222980e-003 1.752035e+000 1.616245e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.460000e+003 7.956116e-001 1.910706e-001 3.970662e+001 5.677997e+001 1.538996e-002 6.484376e+000 1.525225e+021 0.000000e+000 6.147641e-001 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 5.756646e-014 5.440040e-014 1.088746e-013 7.017964e-014 4.031869e-015 6.288068e-014 1.407201e-013 4.529565e-013 7.593798e-013 8.811958e-016 2.265079e-014 2.042040e-014 3.614017e-013 2.494571e-014 1.288278e-013 3.980473e-011 2.163028e-013 2.996814e-013 0.000000e+000 6.194137e-002 1.564284e-001 0.000000e+000 0.000000e+000 1.128369e-001 0.000000e+000 2.450908e+007 4.304358e-002 1.082586e-001 1.010481e+000 3.864424e-003 1.399103e-002 9.536388e+005 2.120481e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.825000e+003 2.632640e+002 1.554316e-001 4.805500e+001 5.964876e+001 1.108690e-002 4.265920e+000 1.352227e+002 0.000000e+000 3.177898e+006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 9.891075e-014 5.920292e-014 1.854702e-013 2.147405e-013 4.184755e-015 3.260849e-014 1.638003e-014 6.584326e-013 8.885212e-013 7.176771e-016 2.410835e-014 3.233653e-014 4.761575e-013 2.465797e-014 2.641279e-013 4.723147e-011 1.759381e-014 3.541252e-014 0.000000e+000 3.137486e-004 1.562415e-001 0.000000e+000 0.000000e+000 9.766932e-002 0.000000e+000 4.213300e-001 1.212574e-002 1.345854e+000 6.986140e-002 1.297824e-002 3.182180e-003 9.536388e+005 3.028033e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+003 7.824325e+008 1.068122e-001 5.153561e+001 5.784385e+001 7.648677e-003 1.709072e+001 2.302728e+000 0.000000e+000 1.116807e+023 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 4.619577e-014 4.822725e-014 6.303113e-014 1.564137e-013 2.269030e-015 1.381820e-013 8.089121e-015 7.923698e-013 8.392735e-013 7.032743e-016 2.476987e-014 2.100057e-013 6.776065e-013 1.923542e-014 8.868430e-015 3.922927e-011 7.865100e-013 7.665024e-013 0.000000e+000 5.620581e-009 1.591328e-001 0.000000e+000 0.000000e+000 1.004949e-001 0.000000e+000 4.131256e-002 2.278985e-002 2.184785e+007 1.818012e-001 2.047717e-002 2.076310e-002 9.536388e+005 3.875759e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.555000e+003 1.319620e+006 8.224237e+001 6.037917e+001 6.613541e+001 7.969515e-003 1.105469e+001 5.032834e+021 0.000000e+000 1.506690e+023 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 6.232571e-014 2.956056e-014 5.365341e-014 9.381566e-014 1.383815e-015 7.696874e-015 8.715334e-015 7.881263e-013 7.983942e-013 7.567604e-016 2.536732e-014 4.444011e-013 6.630850e-013 1.087059e-014 2.402577e-014 4.876540e-011 5.530989e-015 5.139793e-015 0.000000e+000 1.474662e-007 1.719541e-004 0.000000e+000 0.000000e+000 9.617640e-002 0.000000e+000 1.669708e+007 2.129965e-002 2.021677e+007 1.867016e-001 1.272152e-002 2.279027e-002 2.615695e+007 4.986967e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+003 7.083028e+000 2.643067e+004 6.808941e+001 7.519241e+001 8.287588e-003 9.391228e+000 4.623296e+021 0.000000e+000 1.747476e+001 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.047578e-013 5.046374e-014 2.066431e-013 7.868836e-014 3.291850e-015 3.411598e-014 5.722785e-014 1.165848e-012 1.121139e-012 7.490151e-016 3.245763e-014 7.211345e-013 9.558189e-013 3.343637e-014 1.419052e-013 4.320079e-011 4.758363e-014 5.270742e-014 0.000000e+000 1.047677e-002 4.273545e-007 0.000000e+000 0.000000e+000 1.621354e-001 0.000000e+000 1.832815e+007 1.460545e-002 5.997404e-001 6.945155e-002 1.032766e-002 2.225961e-002 2.751929e+007 5.341342e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.285000e+003 1.676539e+000 2.580043e+003 6.348327e+001 6.983184e+001 5.639002e-003 8.430414e+000 3.744986e+021 0.000000e+000 2.993476e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 7.727988e-014 3.853590e-014 1.127254e-013 1.659458e-013 1.586830e-015 1.297742e-014 7.592021e-015 1.032098e-012 1.000047e-012 8.681565e-016 3.502753e-014 7.106238e-013 9.457262e-013 1.775157e-014 2.528519e-015 4.104056e-011 5.012452e-015 3.875706e-015 0.000000e+000 5.156429e-002 7.059403e-006 0.000000e+000 0.000000e+000 9.986710e-002 0.000000e+000 1.502308e+007 9.128054e-002 1.807085e-001 1.126612e-001 1.223552e-002 2.064206e-002 2.615695e+007 5.505601e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
