Time ALE-M BLT-M SSP-M DSP-M LWF-M RDG-M YPH-M WAE-M RSM-M CHK-M CHO-M STH-M LKT-M BBT-M COP-M CLA-M BYT-M MYS-M ROT-M PRO-M PB-M BB-M AMP-M DRE-M CHI-M DIP-M OLI-M GRN-M PIC-M MA-M DL-M DR-M DC-M ALE-F BLT-F SSP-F DSP-F LWF-F RDG-F YPH-F WAE-F RSM-F CHK-F CHO-F STH-F LKT-F BBT-F COP-F CLA-F BYT-F MYS-F ROT-F PRO-F PB-F BB-F AMP-F DRE-F CHI-F DIP-F OLI-F GRN-F PIC-F MA-F DL-F DR-F DC-F
0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.650000e+002 3.128863e+000 4.402019e-001 1.783374e+001 7.816504e+000 6.258706e-003 4.487104e+001 1.035327e+002 0.000000e+000 1.410425e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 2.148684e-011 8.085386e-011 6.746879e-011 1.099123e-013 6.262030e-012 1.689503e-010 4.405001e-011 5.903200e-011 5.282665e-011 9.951820e-015 9.552885e-012 8.457304e-012 1.119319e-010 1.025954e-011 1.916876e-011 3.041188e-008 1.629588e-010 2.399827e-010 0.000000e+000 4.110655e-002 2.984477e-001 0.000000e+000 0.000000e+000 2.647974e-001 0.000000e+000 3.744744e-001 1.280558e-001 7.761453e-002 2.053310e-001 4.903430e-003 5.181130e-003 4.051416e-001 1.316446e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
7.300000e+002 4.725016e+000 4.044846e-001 1.659146e+001 7.175789e+000 4.816359e-003 4.055689e+001 1.147575e+002 0.000000e+000 2.209281e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 5.334967e-014 3.242774e-014 1.863125e-014 1.980772e-013 9.564685e-015 3.035997e-014 4.450210e-015 2.265792e-013 4.312115e-013 2.095155e-015 2.044984e-014 2.091033e-014 2.559278e-013 1.243634e-014 1.916397e-014 3.199471e-011 3.888176e-015 1.692657e-014 0.000000e+000 2.456362e-002 2.046583e-001 0.000000e+000 0.000000e+000 7.099509e-001 0.000000e+000 2.310011e-001 4.182860e-002 6.465437e-002 9.390681e-002 7.671115e-003 7.484166e-003 1.270795e+000 1.369182e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.095000e+003 1.854761e+000 2.343271e-001 2.373479e+001 3.316726e+001 1.190874e-002 1.390643e+001 2.335222e+021 0.000000e+000 1.235529e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 5.051206e-014 9.119200e-014 4.247650e-014 9.616492e-014 2.576375e-015 4.163102e-014 6.165043e-015 3.224533e-013 5.333452e-013 1.379628e-015 2.099516e-014 1.960159e-014 2.890417e-013 1.390218e-014 4.830355e-015 4.048269e-011 6.374171e-015 3.343205e-014 0.000000e+000 4.616215e-002 1.840546e-001 0.000000e+000 0.000000e+000 5.153115e-001 0.000000e+000 2.828631e+007 6.554520e-002 9.628565e-002 3.169752e-002 6.872782e-003 9.222980e-003 1.747568e+000 1.616245e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.460000e+003 8.144171e-001 1.926458e-001 4.002353e+001 5.718652e+001 1.599890e-002 6.572264e+000 1.577706e+021 0.000000e+000 6.268857e-001 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 8.724607e-014 1.900148e-013 2.459312e-013 6.954329e-014 3.508183e-015 6.961998e-014 1.130826e-014 4.718755e-013 7.753092e-013 8.697110e-016 2.284778e-014 2.339596e-014 3.676748e-013 2.143185e-014 7.628006e-015 4.478378e-011 1.171177e-014 2.643127e-014 0.000000e+000 5.991894e-002 1.563992e-001 0.000000e+000 0.000000e+000 1.140805e-001 0.000000e+000 2.450908e+007 4.132585e-002 1.060830e-001 8.780579e-001 3.864424e-003 1.399103e-002 9.536388e+005 2.120481e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
1.825000e+003 2.748738e+002 1.574657e-001 4.867734e+001 6.038149e+001 1.176036e-002 4.369780e+000 4.360707e+001 0.000000e+000 3.199578e+006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.675044e-013 6.464016e-014 2.378919e-013 2.166004e-013 3.440592e-015 5.924933e-014 1.552334e-014 7.193911e-013 8.783240e-013 7.129554e-016 2.470200e-014 6.577621e-014 5.078483e-013 2.713986e-014 1.900161e-013 3.825127e-011 1.815509e-014 4.380920e-014 0.000000e+000 2.784060e-004 1.561174e-001 0.000000e+000 0.000000e+000 9.742002e-002 0.000000e+000 1.273086e-001 1.161434e-002 1.287752e+000 5.734244e-002 1.297824e-002 3.182180e-003 9.536388e+005 3.028033e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.190000e+003 2.048498e+009 1.082044e-001 5.220163e+001 5.853135e+001 8.118046e-003 1.790267e+001 2.484991e+000 0.000000e+000 1.134544e+023 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 9.473315e-014 1.794667e-013 1.044312e-013 1.700686e-013 2.423471e-015 1.211911e-014 1.711342e-014 8.696420e-013 7.947826e-013 7.025910e-016 2.680475e-014 4.773524e-013 7.388392e-013 2.123142e-014 1.294185e-014 4.228773e-011 1.417635e-014 1.311232e-014 0.000000e+000 5.201680e-009 1.589518e-001 0.000000e+000 0.000000e+000 9.887215e-002 0.000000e+000 4.031358e-002 2.170124e-002 2.184785e+007 1.710757e-001 2.047717e-002 2.076310e-002 9.536388e+005 3.875759e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.555000e+003 2.861696e+006 8.326220e+001 6.092036e+001 6.662487e+001 8.322807e-003 1.179666e+001 5.263957e+021 0.000000e+000 1.512247e+023 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 9.642643e-014 5.573979e-014 5.955404e-014 9.323792e-014 1.334765e-015 7.186315e-015 7.680293e-015 8.129228e-013 8.025435e-013 7.217461e-016 2.954105e-014 6.203923e-013 6.842248e-013 1.125976e-014 2.845529e-014 4.862338e-011 4.537496e-015 4.556762e-015 0.000000e+000 6.818760e-008 1.716144e-004 0.000000e+000 0.000000e+000 9.352635e-002 0.000000e+000 1.669708e+007 1.998974e-002 2.021677e+007 1.762824e-001 1.272152e-002 2.279020e-002 2.615695e+007 4.986967e-006 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
2.920000e+003 8.154694e+000 2.725252e+004 6.934599e+001 7.649298e+001 8.539064e-003 1.021954e+001 4.891162e+021 0.000000e+000 2.050921e+001 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.833852e-013 1.294697e-013 2.519406e-013 7.053557e-014 3.700653e-015 1.116940e-013 2.690519e-013 1.263531e-012 1.134194e-012 7.149416e-016 4.314032e-014 8.966714e-013 1.006179e-012 4.288262e-014 8.882909e-014 4.938668e-011 2.539502e-013 9.694082e-013 0.000000e+000 8.407462e-003 4.281539e-007 0.000000e+000 0.000000e+000 1.551751e-001 0.000000e+000 1.832815e+007 1.320900e-002 6.326075e-001 6.284581e-002 1.032766e-002 2.222369e-002 2.751929e+007 5.341342e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
3.285000e+003 1.803436e+000 2.636793e+003 6.502214e+001 7.146768e+001 6.041815e-003 9.145435e+000 3.985642e+021 0.000000e+000 3.200250e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 1.591147e-013 5.846920e-014 1.331328e-013 1.728522e-013 1.197664e-015 1.020703e-013 2.602362e-013 1.146616e-012 1.011768e-012 8.371517e-016 5.228357e-014 8.078043e-013 1.022117e-012 1.771185e-014 6.342144e-015 5.692222e-011 3.227849e-013 3.732540e-013 0.000000e+000 4.282565e-002 7.357396e-006 0.000000e+000 0.000000e+000 9.740064e-002 0.000000e+000 1.502308e+007 8.306583e-002 1.781862e-001 9.557580e-002 1.223552e-002 2.059885e-002 2.615695e+007 5.505153e-007 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000 0.000000e+000
