Time ALE BLT SSP DSP LWF RDG YPH WAE RSM CHK CHO STH LKT BBT COP CLA BYT MYS ROT PRO PB BB AMP CHI DIP OLI GRN PIC MA DL DR DC DIN RelALE RelBLT RelSSP RelDSP RelLWF RelRDG RelYPH RelWAE RelRSM RelCHK RelCHO RelSTH RelLKT RelBBT RelCOP RelCLA RelBYT RelMYS RelROT RelPRO RelPB RelBB RelAMP RelCHI RelDIP RelOLI RelGRN RelPIC RelMA RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+000 142669.300600 228646.802345 9652.600000 42383.769780 26420.495602 579.920592 2615.004304 734.060000 59302.742204 7275.912160 1015.091259 6471.814673 5427.586354 18322.011742 1508922.249056 332228.914328 9931.398138 164005.376690 67391.630305 130526.947155 1905872.131347 771609.834352 47151.709509 37249.850512 979146.505634 586449.387023 253693.416859 203816.798616 5200.535705 312289.003230 312289.003230 0.000000 180486629.244492 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -734.252719 3.679412
1.000000e+002 150071.443991 227565.848857 10894.190731 38815.403811 28419.243609 792.736831 2652.303879 561.555988 54565.437609 8365.862769 1052.973009 7062.501570 5286.801452 15535.903276 1393216.285746 276500.306087 7653.039879 172254.435157 66890.215676 139274.718981 13090607.292903 1124030.193493 47236.351760 35430.207672 874827.619213 550964.597945 148449.364274 57152.827702 2244496.353179 677083.752361 312857.594960 0.000000 172050229.096479 1.051883 0.995272 1.128628 0.915808 1.075651 1.366975 1.014264 0.765000 0.920117 1.149803 1.037319 1.091271 0.974061 0.847937 0.923319 0.832258 0.770590 1.050297 0.992560 1.067019 6.868565 1.456734 1.001795 0.951150 0.893459 0.939492 0.585153 0.280413 431.589452 2.168132 1.001821 1.000000 0.953257 0.500586 1.736920 24.382353 26453596072.797771 -974.491722 0.396858
2.000000e+002 189189.195462 295767.358046 12485.522086 46161.432930 36594.904887 981.758099 2811.939608 642.611911 50133.701858 11726.188948 1286.571296 7565.050263 4142.988479 18540.835749 1998411.776206 644335.995945 5825.263599 220120.821373 62949.373055 687109.476695 10029154.596751 1438468.813208 49910.370437 33458.497288 718680.943540 514594.735251 2890814.221637 12317.813640 1288751.833025 1156541.096762 293099.530428 0.000000 175293339.505293 1.326068 1.293556 1.293488 1.089130 1.385095 1.692918 1.075310 0.875422 0.845386 1.611645 1.267444 1.168923 0.763321 1.011943 1.324397 1.939434 0.586550 1.342156 0.934083 5.264120 5.262239 1.864244 1.058506 0.898218 0.733987 0.877475 11.394912 0.060436 247.811361 3.703432 0.938552 1.000000 0.971226 0.373308 2.180450 26.647059 24430192340.062115 -1449.824426 0.142007
3.000000e+002 336422.859950 327300.762432 24144.468288 53661.352106 64696.842777 1252.951181 3595.485445 781.909534 49987.749728 8046.355934 554.334710 8569.985193 2645.529141 20574.513433 1937350.052586 724175.405626 19987.149156 329518.977384 35921.200382 1068616.545393 8868715.022313 1584435.186459 56805.543163 31405.432453 618962.596929 477969.959188 1988525.001353 1535.696418 1087364.712981 1405299.020275 304671.186123 0.000000 173745155.748467 2.358061 1.431469 2.501344 1.266083 2.448737 2.160556 1.374944 1.065185 0.842925 1.105890 0.546093 1.324201 0.487423 1.122940 1.283930 2.179748 2.012521 2.009196 0.533022 8.186942 4.653363 2.053415 1.204740 0.843102 0.632145 0.815023 7.838300 0.007535 209.087058 4.499995 0.975607 1.000000 0.962648 0.377243 3.993794 26.647059 21985803931.356518 -3736.237525 0.318591
3.650000e+002 405446.988414 339900.716280 23645.043485 50728.179590 65623.789581 1389.194662 4056.212888 918.195869 50069.503733 10936.831565 601.909865 9506.799883 2570.598011 22759.629320 1860989.610675 623665.597391 16554.981099 399152.259404 31971.427026 1048054.243882 8517313.987193 1607754.550817 62147.639481 30082.160388 560505.354756 454805.403019 1955397.420273 446.213163 899789.092099 1522489.935157 254263.088863 0.000000 172179834.192218 2.841866 1.486575 2.449604 1.196877 2.483821 2.395491 1.551130 1.250846 0.844303 1.503156 0.592961 1.468954 0.473617 1.242201 1.233324 1.877216 1.666934 2.433775 0.474412 8.029409 4.468985 2.083637 1.318036 0.807578 0.572443 0.775524 7.707718 0.002189 173.018539 4.875260 0.814192 1.000000 0.953976 717499103356869610000000.000000 1.325030 22.823529 20588182653.954994 -3662.466016 0.299837
4.000000e+002 416621.765782 293645.626062 24155.132664 51605.876518 68874.683308 1485.103564 4139.138774 968.819235 49453.999499 12442.737720 618.271608 9923.222520 2550.798980 18091.277428 1768333.876375 545942.262018 15918.740301 369563.574099 31708.070987 1162952.582160 8633936.028008 1633572.765396 64016.094877 29472.225289 540083.208122 445158.478531 1711517.651225 277.525949 363529.854447 1616479.099951 221537.784859 0.000000 171936507.228769 2.920192 1.284276 2.502448 1.217586 2.606866 2.560874 1.582842 1.319809 0.833924 1.710128 0.609080 1.533298 0.469969 0.987407 1.171918 1.643271 1.602870 2.253363 0.470505 8.909674 4.530176 2.117097 1.357662 0.791204 0.551586 0.759074 6.746402 0.001362 69.902386 5.176228 0.709400 1.000000 0.952627 735458675029549010000000.000000 1.270985 22.705882 19663990951.829594 -3754.553732 0.089515
5.000000e+002 386896.739529 350996.354097 26619.671041 61386.428240 71437.031774 1528.006387 4145.817603 816.662114 43150.052619 18415.812070 711.179801 10599.458287 2519.951377 21420.956575 1535778.299334 366397.105261 6456.277600 291681.889481 31456.368862 1424329.344741 8880401.768289 1752523.548969 68483.198254 27430.018772 465070.094498 424347.363612 1170475.873305 79.139960 910736.769607 1882718.419578 185150.736021 0.000000 172276088.805610 2.711843 1.535103 2.757772 1.448348 2.703849 2.634855 1.585396 1.112528 0.727623 2.531066 0.700607 1.637788 0.464286 1.169138 1.017798 1.102845 0.650087 1.778490 0.466770 10.912148 4.659495 2.271256 1.452401 0.736379 0.474975 0.723587 4.613742 0.000388 175.123645 6.028770 0.592883 1.000000 0.954509 0.509397 2.421358 24.205882 17770137346.591736 -4188.219537 0.218075
6.000000e+002 402039.033799 426339.039395 29847.237506 74674.738197 83819.803030 1729.450957 4957.940931 1118.992429 40792.872875 29259.980329 817.855675 13664.646332 4260.501080 25989.830445 1681783.436988 593792.520950 21478.108426 317170.528039 32746.853493 956139.654684 6798862.942544 1869093.248477 89639.178446 25275.156947 410977.285116 404311.077294 3044586.388499 15.146875 593031.251095 1896285.259303 265733.899322 0.000000 174043080.419402 2.817979 1.864618 3.092145 1.761871 3.172530 2.982220 1.895959 1.524388 0.687875 4.021486 0.805697 2.111409 0.784972 1.418503 1.114559 1.787299 2.162647 1.933903 0.485919 7.325228 3.567324 2.422329 1.901080 0.678530 0.419730 0.689422 12.001046 0.000074 114.032724 6.072213 0.850923 1.000000 0.964299 0.353780 2.112640 26.500000 16785773525.338097 -4446.643815 0.060431
7.000000e+002 440806.007346 329165.631281 33028.604863 76616.676312 68120.388386 1739.356474 2653.132032 1401.240548 33261.669695 23643.532095 583.148503 16240.202684 3416.040213 29278.863797 1387989.590654 481335.679107 9607.049091 397304.704029 33677.958335 764146.656737 6546369.118903 1886651.377204 124247.999740 23646.771812 379469.707275 383890.044254 2321568.547624 3.202354 259435.803846 1918304.388427 282332.721222 0.000000 174911052.426456 3.089705 1.439625 3.421731 1.807689 2.578316 2.999301 1.014580 1.908891 0.560879 3.249563 0.574479 2.509374 0.629385 1.598016 0.919855 1.448807 0.967341 2.422510 0.499735 5.854321 3.434842 2.445085 2.635069 0.634815 0.387552 0.654600 9.151079 0.000016 49.886361 6.142722 0.904075 1.000000 0.969108 0.414035 2.600275 26.529412 16756533427.405308 -5146.280684 0.033149
7.300000e+002 433329.303543 326645.714141 32546.404114 73510.291272 68583.640844 1728.172722 2496.416046 1510.479411 32188.549845 26328.042992 597.668332 17152.159285 3434.015521 30669.334708 1305311.166571 419134.269057 6669.381402 395511.965783 33383.578572 785167.043628 6518929.746656 1895557.630215 129764.545028 23245.867937 370489.357715 377994.502516 2057268.926230 2.386211 200394.754869 1971442.540123 245388.611808 0.000000 175071383.501076 3.037299 1.428604 3.371776 1.734397 2.595850 2.980016 0.954651 2.057706 0.542783 3.618521 0.588783 2.650286 0.632697 1.673907 0.865062 1.261583 0.671545 2.411579 0.495367 6.015364 3.420444 2.456627 2.752064 0.624053 0.378380 0.644548 8.109272 0.000012 38.533483 6.312879 0.785774 1.000000 0.969996 539956085003582170000000.000000 0.802792 22.735294 19939124771.649181 -5059.356555 0.024713
8.000000e+002 403619.487311 250844.851862 33731.290836 71019.761519 69781.477647 1766.059669 2351.615136 1663.652212 30083.496992 31104.788563 616.451511 18798.124287 3524.547553 25278.007680 1234002.525946 342819.733343 6446.800610 307527.968981 33237.532140 799424.840597 6484129.087343 1942873.140216 137529.868936 22577.816944 353199.447665 367654.010994 1555169.014821 1.013458 137367.616317 2111606.144592 161210.621301 0.000000 175799675.426918 2.829056 1.097084 3.494529 1.675636 2.641187 3.045347 0.899278 2.266371 0.507287 4.275036 0.607287 2.904614 0.649377 1.379652 0.817804 1.031878 0.649133 1.875109 0.493200 6.124596 3.402185 2.517948 2.916753 0.606118 0.360722 0.626915 6.130112 0.000005 26.414128 6.761705 0.516223 1.000000 0.974032 533836693650279670000000.000000 0.667655 22.647059 19240162844.848743 -5249.541245 0.017768
