Time ALE BLT SSP DSP LWF RDG YPH WAE RSM CHK CHO STH LKT BBT COP CLA BYT MYS ROT PRO PB BB AMP DRE CHI DIP OLI GRN PIC MA DL DR DC DIN RelALE RelBLT RelSSP RelDSP RelLWF RelRDG RelYPH RelWAE RelRSM RelCHK RelCHO RelSTH RelLKT RelBBT RelCOP RelCLA RelBYT RelMYS RelROT RelPRO RelPB RelBB RelAMP RelDRE RelCHI RelDIP RelOLI RelGRN RelPIC RelMA RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+000 142669.300600 228646.802345 9652.600000 42383.769780 26420.495602 579.920592 2615.004304 734.060000 59302.742204 7275.912160 1015.091259 6471.814673 5427.586354 18322.011742 1508922.249056 332228.914328 9931.398138 164005.376690 67391.630305 130526.947155 1905872.131347 771609.834352 47151.709509 238835.305223 37249.850512 979146.505634 586449.387023 253693.416859 203816.798616 5200.535705 312289.003230 312289.003230 0.000000 180486629.244492 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -734.252719 25.885294
1.000000e+002 150071.805781 227566.812992 10894.324678 38815.529615 28420.658398 822.937516 2652.694996 561.569302 54565.447371 8365.891677 1052.985841 7062.527357 5286.801482 15535.911474 1393208.477670 276497.889475 7653.039525 172204.075223 66883.203107 137749.059979 12776835.693125 1322366.845547 47686.935933 302171.119752 35478.921941 874912.125378 553142.396449 147401.100335 56921.842470 2246805.577858 662246.477867 705565.284828 0.000000 172054117.972229 1.051886 0.995277 1.128641 0.915811 1.075705 1.419052 1.014413 0.765018 0.920117 1.149807 1.037331 1.091275 0.974061 0.847937 0.923314 0.832251 0.770590 1.049990 0.992456 1.055330 6.703931 1.713777 1.011351 1.265186 0.952458 0.893546 0.943206 0.581021 0.279279 432.033488 2.120621 2.259334 1.000000 0.953279 0.500329 1.736895 25.382353 6718.089620 -974.514996 0.416308
2.000000e+002 188821.650457 295776.472784 12486.253857 46162.088241 36621.818243 1062.321156 2814.208302 642.685113 50092.703002 11726.177496 1286.633723 7564.424479 4142.982861 18540.846653 1954188.333461 508232.487162 5810.888309 219898.331765 54931.166340 643964.049167 9735600.462877 1629090.115599 50866.649336 377289.102057 33544.910732 718825.280348 518554.400116 2537722.887640 12321.635489 1668711.548291 1157474.443434 473667.702471 0.000000 175116591.320344 1.323492 1.293595 1.293564 1.089145 1.386114 1.831839 1.076177 0.875521 0.844695 1.611644 1.267505 1.168826 0.763320 1.011944 1.295089 1.529766 0.585103 1.340800 0.815104 4.933572 5.108213 2.111287 1.078787 1.579704 0.900538 0.734135 0.884227 10.003109 0.060454 320.873011 3.706421 1.516761 1.000000 0.970247 0.371984 2.176505 27.647059 5632.920548 -1449.952575 0.226299
3.000000e+002 327183.209342 327329.715767 24146.234441 53662.412102 64794.954620 1427.480820 3581.647081 780.396209 49501.507337 8021.251802 553.944461 8550.355290 2644.584102 20566.893566 1900731.278878 664909.084295 17025.083535 328016.713427 35207.095906 1060926.551306 8324900.118693 1784305.040911 58551.775270 472567.350246 31522.392888 620054.264506 483654.422108 1960332.103925 1520.103365 1389882.532312 1369339.063827 494391.009504 0.000000 173684751.259440 2.293298 1.431595 2.501526 1.266108 2.452450 2.461511 1.369652 1.063123 0.834725 1.102439 0.545709 1.321168 0.487249 1.122524 1.259662 2.001358 1.714269 2.000036 0.522425 8.128027 4.368027 2.312445 1.241774 1.978633 0.846242 0.633260 0.824716 7.727170 0.007458 267.257569 4.384846 1.583120 1.000000 0.962314 0.367059 3.903536 27.676471 4685.763308 -3736.708695 0.555599
3.650000e+002 391338.126327 339969.669795 23648.681630 50730.829437 65182.163272 1649.591289 4030.929024 913.690049 49408.560080 10852.841758 600.751387 9464.972068 2568.321603 22739.648729 1833156.821150 628613.912697 17606.475426 397575.574651 31675.192739 1598112.723562 8055771.495180 1794371.399659 64576.724891 546891.417011 30229.218283 563775.263728 461320.202910 1966818.135652 456.177686 782791.491146 1488240.203774 433067.425069 0.000000 172227687.442196 2.742974 1.486877 2.449980 1.196940 2.467106 2.844512 1.541462 1.244708 0.833158 1.491613 0.591820 1.462491 0.473198 1.241111 1.214878 1.892111 1.772809 2.424162 0.470017 12.243546 4.226816 2.325491 1.369552 2.289827 0.811526 0.575782 0.786633 7.752736 0.002238 150.521318 4.765586 1.386752 1.000000 0.954241 713155694502806730000000.000000 1.289311 23.764706 4092.445440 -3663.493889 0.358928
4.000000e+002 402074.974062 293744.402423 24160.685355 51611.862193 68417.669753 1811.874471 4110.858387 962.933563 48794.417114 12312.619150 616.794377 9868.068328 2547.687414 18070.236539 1741892.103849 553075.342717 16919.873811 368806.189893 31415.407262 1813636.002456 8084182.074710 1809223.285036 66664.936000 585894.255732 29629.189026 543588.197085 451850.889572 1714005.620424 284.724267 436208.823439 1580777.580047 373811.263677 0.000000 171975027.609161 2.818230 1.284708 2.503024 1.217727 2.589568 3.124349 1.572027 1.311791 0.822802 1.692244 0.607625 1.524776 0.469396 0.986258 1.154395 1.664742 1.703675 2.248745 0.466162 13.894725 4.241723 2.344738 1.413839 2.453131 0.795418 0.555165 0.770486 6.756209 0.001397 83.877671 5.061906 1.197004 1.000000 0.952841 730512328199345360000000.000000 1.238500 23.735294 3816.905233 -3756.059468 0.203584
5.000000e+002 373223.860154 351322.537294 26641.095246 61429.866210 71003.258706 2049.350201 4112.850310 808.784787 42478.772813 18081.984412 708.620613 10490.249831 2514.022862 21374.902914 1517063.635610 379525.649209 7208.384307 294343.693514 31167.133786 2063810.857481 8275797.842323 1885316.956550 71392.966128 705043.909665 27604.574138 468353.466562 431233.629967 1156535.628399 81.272207 1015913.160798 1811016.679371 302616.695690 0.000000 172146452.831471 2.616007 1.536529 2.759992 1.449372 2.687431 3.533846 1.572789 1.101797 0.716304 2.485185 0.698086 1.620913 0.463194 1.166624 1.005395 1.142362 0.725818 1.794720 0.462478 15.811378 4.342263 2.443355 1.514112 2.952009 0.741065 0.478328 0.735330 4.558792 0.000399 195.347791 5.799169 0.969028 1.000000 0.953791 0.493384 2.372521 25.264706 3225.333520 -4192.973086 0.370878
6.000000e+002 385161.888154 426992.276871 29896.533016 74784.100647 84157.667487 2594.684923 4903.392146 1101.052301 39763.758184 28535.975398 812.991542 13442.482922 4245.756134 25906.521392 1563914.931040 522803.192377 20364.739414 322009.227442 32128.333112 841025.541640 6157326.918071 1999218.369977 92334.990442 877202.016883 25455.684469 412453.726297 411141.250000 2758084.277489 15.619612 778567.224125 1754224.920367 443477.795913 0.000000 175570889.107292 2.699683 1.867475 3.097252 1.764451 3.185318 4.474207 1.875099 1.499949 0.670521 3.921979 0.800905 2.077081 0.782255 1.413956 1.036445 1.573623 2.050541 1.963407 0.476741 6.443310 3.230714 2.590971 1.958253 3.672832 0.683377 0.421238 0.701069 10.871722 0.000077 149.709043 5.617312 1.420088 1.000000 0.972764 0.336581 2.066000 27.529412 2722.738168 -4457.773218 0.149507
7.000000e+002 419053.209531 329731.343630 33086.401602 76730.233577 68802.075200 2899.721792 2622.215133 1364.612087 32310.160129 22796.849898 577.726905 15881.373213 3394.165025 29151.657378 1394591.724350 460192.050851 8875.554841 402240.397274 39287.049902 819977.740670 5751532.710967 1984492.485548 127282.580270 1102135.901619 23830.780808 378056.159651 390522.881733 2294162.967372 6.059651 366698.892637 1640518.853537 499160.205378 0.000000 175957289.315328 2.937235 1.442099 3.427719 1.810368 2.604118 5.000205 1.002757 1.858993 0.544834 3.133195 0.569138 2.453929 0.625354 1.591073 0.924230 1.385166 0.893686 2.452605 0.582966 6.282057 3.017796 2.571886 2.699427 4.614627 0.639755 0.386108 0.665911 9.043053 0.000030 70.511754 5.253207 1.598392 1.000000 0.974905 0.387902 2.543466 27.617647 2253.750661 -5160.126634 0.128667
7.300000e+002 411653.815809 327217.982361 32614.584761 73642.587078 69226.784025 2982.598238 2467.076969 1467.443031 31257.177956 25309.716880 591.725559 16742.094059 3408.305436 30524.227895 1315451.291665 402381.936066 6382.595611 401371.729563 38815.228145 830686.437972 5745550.937627 1973367.313939 132929.324005 1160246.171361 23427.970792 368620.630698 384438.784100 2022554.253500 5.248795 224486.157670 1667836.800525 420781.413035 0.000000 176185040.261435 2.885371 1.431107 3.378839 1.737519 2.620192 5.143115 0.943431 1.999078 0.527078 3.478563 0.582928 2.586924 0.627960 1.665987 0.871782 1.211159 0.642668 2.447308 0.575965 6.364099 3.014657 2.557468 2.819184 4.857934 0.628941 0.376471 0.655536 7.972435 0.000026 43.165968 5.340684 1.347410 1.000000 0.976167 530974638058308330000000.000000 0.786703 23.735294 2131.086241 -5075.673550 0.116949
8.000000e+002 384366.303841 251295.222162 33827.036302 71201.623975 70444.513996 3312.124768 2323.741150 1611.101935 29244.396407 29727.998904 609.793516 18279.200130 3489.582166 25137.652140 1246119.532845 329121.947010 6163.629360 312593.975863 38630.499570 823498.132017 5694947.175832 1971988.198550 140742.850387 1284689.815668 22756.412506 350726.634866 373641.365926 1510336.122397 2.338025 217050.366353 1795632.809145 270386.038600 0.000000 176735845.770368 2.694107 1.099054 3.504448 1.679927 2.666283 5.711342 0.888618 2.194782 0.493137 4.085811 0.600728 2.824432 0.642934 1.371992 0.825834 0.990648 0.620621 1.905998 0.573224 6.309028 2.988106 2.555680 2.984894 5.378978 0.610913 0.358196 0.637125 5.953391 0.000011 41.736155 5.749907 0.865820 1.000000 0.979218 524087901756752880000000.000000 0.659168 23.647059 1900.198390 -5272.257100 0.129895
9.000000e+002 238886.629228 265618.564330 35797.701163 80401.872196 68891.114173 3016.111473 1945.650648 1347.030890 19659.320899 41804.222928 881.866261 19794.947993 7831.171870 30159.161496 1182460.698471 249620.805065 3137.420404 296596.962925 36291.455723 882284.803976 5803342.737889 2014684.812531 158950.417325 1472961.439103 21616.150870 326307.422769 361105.252327 1231164.080876 0.978743 982657.094128 1924317.192832 291991.613284 0.000000 178634554.684335 1.674408 1.161698 3.708607 1.896997 2.607488 5.200904 0.744033 1.835042 0.331508 5.745565 0.868756 3.058639 1.442846 1.646062 0.783646 0.751352 0.315909 1.808459 0.538516 6.759407 3.044980 2.611015 3.371043 6.167268 0.580302 0.333257 0.615748 4.852960 0.000005 188.953052 6.161976 0.935004 1.000000 0.989738 0.315795 0.720902 25.205882 1644.769518 -4860.221031 0.253832
1.000000e+003 210082.430339 271577.464830 37592.000844 87524.053196 66814.749159 3454.535513 1649.737225 1626.999733 12494.992987 23883.339055 960.687610 22362.548187 5008.167678 33424.820839 1319381.774582 494880.298970 16592.048032 336337.504634 32268.654895 679412.678069 4988183.205905 2032931.901192 221163.827819 1743082.583493 20650.885194 311761.118977 350068.142241 3073425.259737 75.155142 566016.151483 1674755.988634 604482.721144 0.000000 177744428.685458 1.472513 1.187760 3.894495 2.065037 2.528898 5.956911 0.630874 2.216440 0.210698 3.282522 0.946405 3.455375 0.922725 1.824299 0.874387 1.489576 1.670666 2.050771 0.478823 5.205153 2.617271 2.634663 4.690473 7.298262 0.554388 0.318401 0.596928 12.114722 0.000369 108.838047 5.362840 1.935652 1.000000 0.984807 0.209874 1.070689 27.558824 1411.562409 -5662.648718 0.259724
1.095000e+003 179197.652266 283843.150001 38795.444085 79653.162615 56639.438199 3738.020512 1555.676985 1868.816069 11017.197660 31409.627640 682.172525 24594.357149 4411.025160 38222.251271 1124347.413044 424339.062007 7741.575510 409420.914472 31369.492197 955580.193460 4830448.403689 1981862.397295 275643.526297 2022873.105420 19915.690726 301291.306089 338523.097027 2639584.888277 387.463627 357402.126923 1671905.475984 484037.180843 0.000000 179421063.179380 1.256035 1.241404 4.019170 1.879332 2.143769 6.445745 0.594904 2.545863 0.185779 4.316933 0.672031 3.800226 0.812705 2.086138 0.745133 1.277249 0.779505 2.496387 0.465481 7.320942 2.534508 2.568477 5.845886 8.469741 0.534652 0.307708 0.577242 10.404625 0.001901 68.724098 5.353712 1.549965 1.000000 0.994096 433215008542235130000000.000000 0.266623 23.529412 1217.855188 -5975.567231 0.211740
1.100000e+003 177816.096564 284645.795705 38615.919544 78410.537618 56768.036811 3763.627298 1553.696754 1876.852017 10954.852251 31722.152178 683.424735 24671.595604 4391.007188 38466.029641 1119601.849024 418215.813297 7728.439004 407563.145874 31348.834271 957177.653449 4832251.208364 1981317.572046 277052.825430 2035073.721175 19886.309261 300764.819542 337869.070952 2581745.433621 373.025535 348444.214859 1683021.688952 466944.422530 0.000000 179431253.188701 1.246351 1.244915 4.000572 1.850013 2.148636 6.489901 0.594147 2.556810 0.184728 4.359887 0.673264 3.812160 0.809017 2.099444 0.741988 1.258818 0.778182 2.485060 0.465174 7.333180 2.535454 2.567771 5.875775 8.520825 0.533863 0.307170 0.576127 10.176636 0.001830 67.001600 5.389308 1.495232 1.000000 0.994153 433725667079339990000000.000000 0.263101 23.647059 1208.851594 -5947.847053 0.211658
1.200000e+003 133516.675885 216384.583566 39038.105475 74604.851623 57625.799143 3363.378470 1482.648268 1425.317013 7941.516577 36501.451984 701.314405 26812.856940 4374.352286 31883.978854 1057550.728438 338882.810739 7045.942408 359346.040472 31112.982502 930372.444732 4889594.918469 2010750.505756 293334.136789 2252910.955487 19291.579514 289855.481250 327523.686861 1697597.234878 117.498319 793830.580307 1919329.248243 260765.721643 0.000000 181411006.621203 0.935847 0.946370 4.044310 1.760222 2.181102 5.799722 0.566977 1.941690 0.133915 5.016753 0.690888 4.143020 0.805948 1.740201 0.700865 1.020028 0.709461 2.191063 0.461674 7.127819 2.565542 2.605916 6.221071 9.432906 0.517897 0.296029 0.558486 6.691530 0.000576 152.644002 6.146003 0.835014 1.000000 1.005122 0.216094 0.400396 24.911765 1057.831560 -6024.111913 0.296887
1.300000e+003 54115.214935 232422.797155 38814.796607 82740.191646 57492.534509 3580.488522 1329.539633 1547.715623 5134.127697 45788.822143 1124.662032 23564.585021 6226.872668 36703.068871 1493183.648536 556161.184808 24106.409720 400267.416668 31933.318913 956716.346344 3905258.132679 2037565.763347 338337.380317 2524876.363112 18598.180616 282347.306610 321527.288459 3238000.381041 683.613368 1232032.536833 1816906.614446 528914.696746 0.000000 183028260.110727 0.379305 1.016515 4.021175 1.952167 2.176058 6.174101 0.508427 2.108432 0.086575 6.293207 1.107942 3.641109 1.147264 2.003223 0.989570 1.674030 2.427293 2.440575 0.473847 7.329646 2.049066 2.640668 7.175506 10.571621 0.499282 0.288361 0.548261 12.763439 0.003354 236.904928 5.818029 1.693671 1.000000 1.014082 0.110969 0.200803 27.441176 928.296679 -5663.359641 0.335556
1.400000e+003 63803.249931 229424.342560 52800.319291 96748.324425 58352.888865 3924.443908 1540.078225 1664.487526 3411.530191 21016.163548 789.084031 24329.604310 4716.994076 38924.873528 996409.271020 436308.496179 12986.477990 504280.789774 60552.944467 1047137.293131 4565870.315289 2050538.491815 395331.762024 2960346.299283 18023.581817 276928.608412 319713.725763 3287359.250559 116.418599 565987.835326 1626799.012050 764622.167748 0.000000 181876403.021560 0.447211 1.003401 5.470062 2.282674 2.208622 6.767209 0.588939 2.267509 0.057527 2.888458 0.777353 3.759317 0.869078 2.124487 0.660345 1.313277 1.307618 3.074782 0.898523 8.022384 2.395686 2.657481 8.384251 12.394928 0.483856 0.282827 0.545168 12.958000 0.000571 108.832603 5.209274 2.448444 1.000000 1.007700 0.093124 0.332059 27.411765 807.060779 -8356.259943 0.341491
1.460000e+003 59299.702269 236888.232310 44133.291862 74574.327658 49894.608367 4050.403340 1607.174816 1743.999703 3184.621837 22775.653734 804.467561 24917.070048 4425.120630 41492.796707 953556.818797 339606.573958 10908.939644 553735.427062 61852.316661 2120678.713240 3828060.738082 1999113.925654 410682.490346 3180250.711675 17725.806581 273865.960739 316335.208946 2978165.007219 167.106338 671772.228432 1662407.334565 573927.110863 0.000000 183317403.624850 0.415644 1.036044 4.572166 1.759502 1.888481 6.984410 0.614597 2.375827 0.053701 3.130282 0.792508 3.850090 0.815302 2.264642 0.631946 1.022207 1.098429 3.376325 0.917804 16.247057 2.008561 2.590835 8.709811 13.315664 0.475862 0.279699 0.539408 11.739229 0.000820 129.173660 5.323298 1.837808 1.000000 1.015684 428043367121602240000000.000000 0.100019 23.676471 740.542265 -6900.766517 0.355414
1.500000e+003 57253.548493 170959.102569 42228.021989 67732.774608 51284.722129 4265.933513 1643.448630 1774.701302 3049.241027 23421.314076 810.570420 25133.662801 4257.359889 31551.285553 927089.609960 293688.525523 10780.197900 533920.243030 61642.736286 2252718.846501 3863625.489041 1976862.527758 416422.105953 3293534.831261 17563.628675 271523.968085 313297.443853 2517624.052119 109.431303 425903.738080 1742521.509994 431421.371524 0.000000 183118920.001795 0.401303 0.747700 4.374782 1.598083 1.941096 7.356065 0.628469 2.417652 0.051418 3.219021 0.798520 3.883557 0.784393 1.722043 0.614405 0.883994 1.085466 3.255505 0.914694 17.258650 2.027222 2.561998 8.831538 13.789983 0.471509 0.277307 0.534228 9.923884 0.000537 81.896128 5.579836 1.381481 1.000000 1.014584 436798817737442130000000.000000 0.095208 23.529412 702.801452 -6598.809905 0.340319
